TimeStr,Time,SoC,Pack_Current,Charging_Info,Flag_Balancing_Active,Balancing_Limit,Voltage_Min,Voltage_Max,Voltage_Delta,BalancingMask0,BalancingMask1,Mode,Threshold,Temp_Block,PCB_Temp_Min,PCB_Temp_Max,Balancing_Required,Required_Cells,Active_Cells,Missing,Extra,Dead_Cells,Dead_Therms,CellVoltage_1,CellVoltage_2,CellVoltage_3,CellVoltage_4,CellVoltage_5,CellVoltage_6,CellVoltage_7,CellVoltage_8,CellVoltage_9,CellVoltage_10,CellVoltage_11,CellVoltage_12,CellVoltage_13,CellVoltage_14,CellVoltage_15,CellVoltage_16,CellVoltage_17,CellVoltage_18,IntTherm_1,IntTherm_2,IntTherm_3,IntTherm_4,IntTherm_5,IntTherm_6,PassFail,Remark
11-11-2025 05:03:30.5020,0.0,,,,,,,,,,,Unknown,,False,,,NO,[],[],[],[],"[19, 20]","[7, 8]",,,,,,,,,,,,,,,,,,,,,,,,,PASS,OK
11-11-2025 05:03:30.5026,0.0006,,,,,,,,,,,Unknown,,False,,,NO,[],[],[],[],"[19, 20]","[7, 8]",,,,,,,,,,,,,,,,,,,,,,,,,PASS,OK
11-11-2025 05:03:30.5031,0.0011,,,,,,,,,,,Unknown,,False,,,NO,[],[],[],[],"[19, 20]","[7, 8]",,,,,,,,,,,,,,,,,,,,,,,,,PASS,OK
11-11-2025 05:03:30.5036,0.0016,,,,,,,,,,,Unknown,,False,,,NO,[],[],[],[],"[19, 20]","[7, 8]",,,,,,,,,,,,,,,,,,,,,,,,,PASS,OK
11-11-2025 05:03:30.5041,0.0021,,,,,,,,,,,Unknown,,False,,,NO,[],[],[],[],"[19, 20]","[7, 8]",,,,,,,,,,,,,,,,,,,,,,,,,PASS,OK
11-11-2025 05:03:30.5046,0.0026,,,,,,,,,,,Unknown,,False,,,NO,[],[],[],[],"[19, 20]","[7, 8]",,,,,,,,,,,,,,,,,,,,,,,,,PASS,OK
11-11-2025 05:03:30.5050,0.003,,,,,,,,,,,Unknown,,False,,,NO,[],[],[],[],"[19, 20]","[7, 8]",,,,,,,,,,,,,,,,,,,,,,,,,PASS,OK
11-11-2025 05:03:30.5055,0.0035,,,,,,,,,,,Unknown,,False,,,NO,[],[],[],[],"[19, 20]","[7, 8]",,,,,,,,,,,,,,,,,,,,,,,,,PASS,OK
11-11-2025 05:03:30.5060,0.004,,-0.028440000000000003,,InActive,3100.0,,,,,,Unknown,,False,,,NO,[],[],[],[],"[19, 20]","[7, 8]",,,,,,,,,,,,,,,,,,,,,,,,,PASS,OK
11-11-2025 05:03:30.5064,0.0044,93.98,-0.028440000000000003,,InActive,3100.0,,,,,,Unknown,26.0,False,,,NO,[],[],[],[],"[19, 20]","[7, 8]",,,,,,,,,,,,,,,,,,,,,,,,,PASS,OK
11-11-2025 05:03:30.5070,0.005,93.98,-0.028440000000000003,,InActive,3100.0,3300.0,3300.0,0.0,,,Unknown,26.0,False,,,NO,[],[],[],[],"[19, 20]","[7, 8]",,,,,,,,,,,,,,,,,,,,,,,,,PASS,OK
